id,public_id,parent_id,admin_level_id,admin_level_code,admin_area_type_id,admin_area_type_code,canonical_name,slug,source_type_id,is_active,is_verified,verification_status,is_deleted,boundary_status,is_official_boundary,boundary_confidence_score,address_usage,is_public_usable,address_confidence_score,boundary_note,geometry_source,reference_source,point_on_surface_wkt,geom_md5,geom_npoints
5985,c618676f-0e8e-4f5f-a098-889832c332ea,6384,4,township,8,township,อำเภอเวียงแหง,osm:R:19051895,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(98.63897399811982 19.590577449999998),abed0304c579f67256e97a5672da965b,1765
5986,09fffa2e-88ae-42ce-aff4-ca4e41738ff1,6384,4,township,8,township,อำเภอปางมะผ้า,osm:R:18971458,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(98.22407800547577 19.591551000000003),c2c293038da26e95d4a0d74310f9b5f2,1106
6073,8881b001-a128-4c5c-8f4f-bdba0d4745c0,6042,4,township,8,township,ပင်လောင်းမြို့နယ်,osm:R:5996802,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(96.67366002656135 20.137476),8316f78e018eb199d946d61a5e78e7b5,988
6091,58ad5d7d-6f58-427c-b30b-7db5f5e09c9b,5999,4,township,8,township,ဆီဆိုင်မြို့နယ်,osm:R:5996626,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(97.3063255218525 20.242778649999998),72639e6e337c19bdb729124ee776e4c0,580
6115,9837ae38-7f21-4c12-acb1-facd7a443a57,6042,9,self_administered_zone,5,self_administered_zone,ပအိုဝ်းကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,osm:R:7200537,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(96.67366002656135 20.137476),04c5c25db33704e1984f7c96557eba1c,2592
6144,1e21c040-9ea6-4ac6-bdf9-4784006c55fe,6072,4,township,8,township,ပင်းတယမြို့နယ်,osm:R:5996801,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(96.66925827296835 20.923722),a6a659f584d90d69ede36dc965973a9e,278
6187,c3967cce-92b3-4a62-b2e4-d8950d91061d,6197,4,township,8,township,ရွာငံမြို့နယ်,osm:R:5996892,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(96.50093636599524 21.2837617),055828a1385e306c574f67fc5d103320,935
6192,544296c7-328a-4436-a667-b6e2a633568c,6197,9,self_administered_zone,5,self_administered_zone,ဓနုကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,osm:R:7200536,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(96.50843047286148 21.2212715),41530091f7b4f58b7b7cf0f23afe1f95,996
6310,645a0d11-0d94-4fed-97cf-163ccc51fd05,6176,4,township,8,township,ဟိုပုံးမြို့နယ်,osm:R:5996619,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(97.25843348546186 21.00033395),4b76b804980f6eedd453e6b8a0431b47,1113
6378,533c7e02-1515-4554-a544-2349e823819b,11,2,state_region,2,state,ဝပြည်နယ် တောင်ပိုင်း,osm:R:9399860,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(99.05259296892541 20.13644585),e85b9915d1eeeb73f08ad7de3e71d5f2,5782
6394,bec49354-200d-4df2-9c95-894125aad114,6586,4,township,8,township,နမ့်ဆန်မြို့နယ်,osm:R:5996760,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(97.20705503604887 22.94588725),3776be60a36890dc9f0cd7fe48e57032,794
6410,dbda7c02-88cd-4927-a999-55862598d811,6411,4,township,8,township,ရှီးရှမ်း‌မြို့နယ်,osm:R:17024477,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(98.6787655484724 23.762290200000002),06d325200cf2f83e10546f3a63d8ac34,942
6411,0a20fc62-177a-4ef5-90df-86e940f555f1,6329,3,district,7,district,ကိုးကန့်,osm:R:17020740,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(98.62235697590953 23.7784159),56236d42ab61fd74eed4f7b49c8f40ba,1913
6485,393e2b57-f0c0-4df1-8184-e41fb87a5d53,11,2,state_region,2,state,ဝပြည်နယ် မြောက်ပိုင်း,osm:R:9399861,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(98.70677659101956 22.6239578),49baa1dcfb7c7fdfae9056bd93ca05e6,4851
6527,c5ae9f1c-5a77-45ec-be90-851b56ef9604,6598,4,township,8,township,မန်တုံမြို့နယ်,osm:R:5996701,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(97.3434136421765 23.395369309285652),b5e0b9453c3af53f57fc61ad1ef6394f,1076
6674,8ce962d0-88de-4d8b-84c1-17eb6ed9c26b,6665,4,township,8,township,နန်းယွန်းမြို့နယ်,osm:R:5996763,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(96.01521415067242 26.91620955),5c112131042de36049ec91c8eab932e7,2104
6675,c7f98fdb-b42d-499b-8d61-8fce2c8bb1ee,6665,4,township,8,township,Vijoynagar EAC,osm:R:10064032,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(96.95338564056108 27.2693978),05a8d5ef4a000bc322e4e98324b4faef,417
6692,e5865555-62ad-4691-b0d5-4d1c32960fb8,6700,4,township,8,township,လဟယ်မြို့နယ်,osm:R:5996679,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(95.38819271679611 26.2289227),7b8c3e6556d2dea3795eebdf4061461d,1666
6693,4c16c336-dd5b-443f-b3aa-48d69d5c2780,6665,9,self_administered_zone,5,self_administered_zone,နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,osm:R:7183862,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(95.65178402621243 26.565623549999998),6435eee84395c2d4160f2256399bb18c,3609
6699,b99234fc-d2b4-476d-850a-687e7f3b2a9e,6700,4,township,8,township,လေရှီးမြို့နယ်,osm:R:5996688,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(94.82135132058582 25.307113605874857),06c00089d2aa14a60a7570e42d7ae0b6,817
6734,6edae478-05a8-4799-9054-81cd444bf63b,6942,4,township,8,township,S' Bungtlang,osm:R:10081454,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(92.68559433768266 22.288937599999997),b08cae67b9679f690868065a2351a1ed,763
6735,50961dad-2989-4b8f-b48e-b209b8f75acc,6921,4,township,8,township,Tipa,osm:R:10081485,1,t,f,unverified,f,official,t,80,official,t,50,,,,POINT(92.94419451660319 22.1698234),a19779383fec53797b1b0a8e2909717a,1196
6778,a9ab83ec-ebee-4484-80b9-b8b829c4b038,7155,4,township,8,township,ပန်းတောင်းမြို့နယ်,osm:R:5996782,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(94.92709385869622 18.67043455),1d23a9cb6f03443dfa12439297004eae,702
7139,2f1f583a-5ab0-4e13-9357-13f5b8dc3ad4,7128,4,township,8,township,ပြည်မြို့နယ်,osm:R:5996810,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(95.27466073152578 18.91393295),957c30c7d8d496320d811066b99edf35,314
7151,2f844ca1-4eb2-4911-b80b-2987d884fddd,7155,4,township,8,township,ရွှေတောင်မြို့နယ်,osm:R:5996826,1,t,t,verified,f,official,t,80,official,t,50,,,,POINT(95.17174180096501 18.561326700000002),3876b101662a66dbfeaff930d1a29118,217
