source_key,source_row_number,source_sheet,hierarchy_level,source_subtype,source_official,source_gad_status,source_name_en,source_name_my,source_parent_path,matched_coremap_id,existing_coremap_path,existing_canonical_name,existing_parent_id,target_parent_coremap_id,target_parent_path,action,confidence,name_evidence,hierarchy_evidence,spatial_evidence,preserve_existing_geom,manual_review_reason,review_notes,candidate_coremap_ids,mimu_comparison_geometry_available,audit_only_source_pcode,audit_only_parent_pcode
02_District:7,7,02_District,district,district,True,Active,Bawlake,ဘောလခဲခရိုင်,state_region:MMR002:Kayah > district:MMR002D002:Bawlake,,,,,6007,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ်,manual_review,93,fuzzy_under_hierarchy_scope,strict_parent_core=6007;strict_candidate_pool=3,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=14874.51;core_id=5974,True,Fuzzy-name candidates are review-only: 5974:Bawlakhe District:0.933,Fuzzy-name candidates are review-only: 5974:Bawlakhe District:0.933,,True,MMR002D002,MMR002
02_District:69,69,02_District,district,district,False,N/A,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),state_region:MMR222:Shan > district:MMR015D331:Mong Maw (Wa SAD),,,,,6329,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ်,manual_review,82,fuzzy_under_hierarchy_scope,strict_parent_core=6329;strict_candidate_pool=21,none,True,Fuzzy-name candidates are review-only: 6294:မိုင်းလားအထူးဒေသ:0.824,Fuzzy-name candidates are review-only: 6294:မိုင်းလားအထူးဒေသ:0.824,,False,MMR015D331,MMR222
02_District:74,74,02_District,district,district,False,Inactive,Monghpyak,မိုင်းဖြတ်ခရိုင်,state_region:MMR222:Shan > district:MMR016D004:Monghpyak,,,,,6329,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ်,manual_review,84,fuzzy_under_hierarchy_scope,strict_parent_core=6329;strict_candidate_pool=21,none,True,Fuzzy-name candidates are review-only: 6371:မိုင်းဆတ်ခရိုင်:0.842,Fuzzy-name candidates are review-only: 6371:မိုင်းဆတ်ခရိုင်:0.842,,False,MMR016D004,MMR222
03_Township:310,310,03_Township,township,township,True,Active,Kawthoung,ကော့သောင်း,state_region:MMR006:Tanintharyi > district:MMR006D003:Kawthoung > township:MMR006009:Kawthoung,,,,,7438,country:11:မြန်မာ > state_region:7449:တနင်္သာရီတိုင်း > district:7438:ကော့သောင်းခရိုင်,manual_review,95,fuzzy_under_hierarchy_scope,strict_parent_core=7438;strict_candidate_pool=1,rank=1;source_point_in_core=t;core_point_in_source=f;distance_m=62146.48;core_id=7444,True,Fuzzy-name candidates are review-only: 7444:ကော့သောင်မြို့နယ်:0.947,Fuzzy-name candidates are review-only: 7444:ကော့သောင်မြို့နယ်:0.947,,True,MMR006009,MMR006D003
03_Township:107,107,03_Township,township,township,True,Active,Minbu,မင်းဘူး,state_region:MMR009:Magway > district:MMR009D002:Minbu > township:MMR009007:Minbu,,,,,7029,country:11:မြန်မာ > state_region:7027:မကွေးတိုင်းဒေသကြီး > district:7029:မင်းဘူးခရိုင်,manual_review,82,fuzzy_under_hierarchy_scope,strict_parent_core=7029;strict_candidate_pool=5,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=0.00;core_id=7018,True,Fuzzy-name candidates are review-only: 7018:မင်းဘူး(စကု)မြို့နယ်:0.824,Fuzzy-name candidates are review-only: 7018:မင်းဘူး(စကု)မြို့နယ်:0.824,,True,MMR009007,MMR009D002
03_Township:120,120,03_Township,township,township,True,Active,Sidoktaya,စေတုတ္ထရာ,state_region:MMR009:Magway > district:MMR009D002:Minbu > township:MMR009011:Sidoktaya,,,,,7029,country:11:မြန်မာ > state_region:7027:မကွေးတိုင်းဒေသကြီး > district:7029:မင်းဘူးခရိုင်,manual_review,89,fuzzy_under_hierarchy_scope,strict_parent_core=7029;strict_candidate_pool=5,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=0.06;core_id=7026,True,Fuzzy-name candidates are review-only: 7026:စေတုတ္တရာမြို့နယ်:0.889,Fuzzy-name candidates are review-only: 7026:စေတုတ္တရာမြို့နယ်:0.889,,True,MMR009011,MMR009D002
_05_Ward:2061,2061,_05_Ward,ward_village_tract,ward,True,Active,Aye Mya Wa Di Ward,ဧမြဝတီရပ်ကွက်,state_region:MMR005:Sagaing > district:MMR005D001:Sagaing > township:MMR005001:Sagaing > ward_village_tract:MMR005001701502:Aye Mya Wa Di Ward,,,,,6831,country:11:မြန်မာ > state_region:6703:စစ်ကိုင်းတိုင်းဒေသကြီး > district:6861:စစ်ကိုင်းခရိုင် > township:6831:စစ်ကိုင်းမြို့နယ်,manual_review,40,bilingual_exact_under_parent,strict_parent_core=6831;strict_candidate_pool=20,none,True,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6849,6853","Multiple plausible CoreMap candidates under matched hierarchy scope: 6849,6853",6849;6853,False,MMR005001701502,MMR005001
_05_Ward:2132,2132,_05_Ward,ward_village_tract,ward,True,Active,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,state_region:MMR005:Sagaing > district:MMR005D002:Shwebo > township:MMR005011:Taze > ward_village_tract:MMR005011701503:Ma Har Myaing Ward,,,,,6766,country:11:မြန်မာ > state_region:6703:စစ်ကိုင်းတိုင်းဒေသကြီး > district:6799:ကလေးခရိုင် > township:6766:တန့်ဆည်မြို့နယ်,manual_review,40,bilingual_exact_under_parent,strict_parent_core=6766;strict_candidate_pool=4,none,True,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6794,6797","Multiple plausible CoreMap candidates under matched hierarchy scope: 6794,6797",6794;6797,False,MMR005011701503,MMR005011
_05_Ward:447,447,_05_Ward,ward_village_tract,ward,True,Active,Gant Gaw Waing Ward,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D001:Bago > township:MMR007008:Shwegyin > ward_village_tract:MMR007008701505:Gant Gaw Waing Ward,,,,,5920,country:11:မြန်မာ > state_region:7169:ပဲခူးတိုင်းဒေသကြီး > district:5923:ပဲခူးခရိုင် > township:5920:ရွှေကျင်မြို့နယ်,manual_review,40,bilingual_exact_under_parent,strict_parent_core=5920;strict_candidate_pool=9,none,True,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5891,5897","Multiple plausible CoreMap candidates under matched hierarchy scope: 5891,5897",5891;5897,False,MMR007008701505,MMR007008
_05_Ward:1447,1447,_05_Ward,ward_village_tract,ward,True,Active,Ngwe Taw Kyi Kone Ward,ငွေတော်ကြည်ကုန်းရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D001:Mandalay > township:MMR010005:Pyigyitagon > ward_village_tract:MMR010005701502:Ngwe Taw Kyi Kone Ward,,,,,6203,country:11:မြန်မာ > state_region:6832:မန္တလေးတိုင်း > district:6224:မဟာအောင်မြေ > township:6203:ပြည်ကြီးတံခွန်,manual_review,40,bilingual_exact_under_parent,strict_parent_core=6203;strict_candidate_pool=16,none,True,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6211,6212","Multiple plausible CoreMap candidates under matched hierarchy scope: 6211,6212",6211;6212,False,MMR010005701502,MMR010005
